n1,n2,Epoch,RMSE-Train,AAE-Train,R2-Train,RMSE-Test,AAE-Test,R2-Test
10,6,154,0.29411496,0.213651039,0.920846073,0.38111796,0.292595195,0.887087112
10,6,155,0.293602826,0.213179596,0.921121489,0.380761964,0.292461632,0.887297954
10,6,156,0.293094182,0.212722391,0.921394555,0.38046432,0.292454608,0.887474084
10,6,157,0.292588693,0.212227729,0.921665457,0.380060312,0.29250126,0.887712936
10,6,158,0.292086243,0.211790757,0.921934267,0.379762604,0.292489051,0.88788878
10,6,159,0.291586769,0.211337347,0.922201027,0.379329915,0.292570699,0.888144106
10,6,160,0.291090197,0.210951412,0.922465785,0.37911692,0.292555749,0.888269686
10,6,161,0.290596448,0.210525579,0.92272859,0.378649957,0.292760145,0.888544755
10,6,162,0.290105626,0.210168936,0.922989394,0.378616198,0.292774951,0.888564628
10,6,163,0.28961826,0.209699811,0.923247926,0.377986439,0.293298545,0.888935025
10,6,164,0.289136379,0.20941378,0.923503122,0.378340517,0.293047955,0.888726848
10,6,165,0.288665638,0.208925637,0.923752007,0.377203494,0.294072636,0.889394659
10,6,166,0.28822365,0.208839696,0.923985321,0.378612674,0.293026179,0.888566703
10,6,167,0.287863463,0.208240288,0.924175191,0.375988411,0.295509931,0.890106096
10,6,168,0.28773841,0.208971554,0.924241055,0.380550144,0.292021914,0.887423312
10,6,169,0.288219367,0.20835797,0.92398758,0.373965823,0.298689391,0.89128524
10,6,170,0.289624981,0.211376201,0.923244364,0.386650968,0.290354718,0.883784812
10,6,171,0.290586813,0.211110155,0.922733713,0.373175875,0.302816723,0.891744043
10,6,172,0.288037905,0.209719007,0.924083265,0.385340648,0.290931928,0.88457116
10,6,173,0.284955321,0.206219875,0.925699492,0.376918138,0.296486099,0.889561942
10,6,174,0.286046674,0.20690605,0.925129274,0.374399904,0.3002864,0.891032712
10,6,175,0.286889107,0.208723105,0.924687623,0.385668546,0.291256594,0.884374632
10,6,176,0.2842917,0.20553068,0.92604516,0.375348117,0.299358175,0.890480067
10,6,177,0.283581622,0.204980687,0.926414135,0.375825628,0.298909362,0.890201232
10,6,178,0.284775673,0.206969899,0.925793147,0.384005097,0.292530614,0.885369902
10,6,179,0.283251447,0.204620251,0.926585387,0.375146043,0.300440414,0.890597959
10,6,180,0.282018601,0.203842897,0.927223068,0.376786494,0.29847125,0.889639073
10,6,181,0.282863349,0.205362881,0.926786428,0.382621707,0.293936294,0.886194331
